generation,kappa_mean,kappa_median,kappa_sd,kappa_min,kappa_max,kappa_q25,kappa_q75,mean_fitness,n_pop
74,0.7209,0.7237,0.0573,0.5933,0.8526,0.681,0.7504,0.9752,100
75,0.7312,0.7263,0.0511,0.6249,0.8529,0.6903,0.7652,0.981,100
76,0.7232,0.7233,0.0586,0.5735,0.8409,0.6928,0.7599,0.975,100
77,0.7263,0.7295,0.0562,0.5755,0.8388,0.6906,0.7661,0.9764,100
78,0.7371,0.7451,0.058,0.5542,0.8871,0.694,0.7766,0.9749,100
79,0.7333,0.7308,0.058,0.623,0.8688,0.6861,0.7734,0.9739,100
80,0.7295,0.7374,0.0559,0.5952,0.8401,0.6959,0.7738,0.9763,100
81,0.7196,0.7196,0.0471,0.6175,0.828,0.6864,0.7543,0.9822,100
82,0.7312,0.721,0.0535,0.6182,0.8839,0.6963,0.77,0.9777,100
83,0.7196,0.7209,0.0605,0.5408,0.843,0.6805,0.7601,0.9729,100
84,0.7311,0.7294,0.0491,0.6089,0.8453,0.6975,0.7635,0.982,100
85,0.7292,0.728,0.0547,0.5728,0.8859,0.6957,0.7613,0.979,100
86,0.7282,0.7211,0.0544,0.6029,0.8714,0.6896,0.7634,0.9775,100
87,0.7244,0.7219,0.0531,0.6049,0.8684,0.6916,0.7525,0.9805,100
88,0.7301,0.7313,0.0492,0.6194,0.8513,0.6918,0.7596,0.9819,100
89,0.7301,0.729,0.0564,0.5788,0.8663,0.695,0.7638,0.9778,100
90,0.7358,0.728,0.0472,0.6376,0.8474,0.6999,0.771,0.9825,100
91,0.7337,0.7273,0.0614,0.6135,0.903,0.6897,0.7759,0.9725,100
92,0.73,0.7298,0.0542,0.5504,0.8704,0.6954,0.7635,0.9794,100
93,0.7352,0.7378,0.0565,0.5468,0.8579,0.7019,0.7759,0.9775,100
94,0.7341,0.7348,0.0458,0.6088,0.8425,0.7002,0.7678,0.9839,100
95,0.7255,0.7302,0.0518,0.5677,0.8501,0.6916,0.7603,0.9808,100
96,0.7342,0.7386,0.0477,0.6366,0.8483,0.7024,0.7713,0.9822,100
97,0.7367,0.7332,0.0497,0.5872,0.852,0.7068,0.7709,0.9828,100
98,0.7269,0.7266,0.0486,0.6216,0.8818,0.6915,0.7627,0.9822,100
99,0.7349,0.7382,0.05,0.6065,0.8433,0.7025,0.7645,0.9817,100
100,0.7398,0.7389,0.0471,0.6072,0.8592,0.7116,0.7709,0.9834,100
101,0.7305,0.7279,0.0426,0.6247,0.8364,0.6946,0.763,0.9866,100
102,0.7221,0.7226,0.043,0.6204,0.8323,0.6914,0.7477,0.9881,100
103,0.7287,0.7307,0.0521,0.5699,0.846,0.6914,0.7613,0.9796,100
104,0.7359,0.7378,0.0533,0.6303,0.8547,0.7025,0.7721,0.9769,100
105,0.7176,0.7182,0.0556,0.5322,0.8606,0.6771,0.7576,0.9759,100
106,0.7314,0.7318,0.0437,0.6288,0.8444,0.7027,0.7589,0.9868,100
107,0.7271,0.7267,0.0453,0.6124,0.8506,0.7003,0.7578,0.9856,100
108,0.7238,0.7247,0.045,0.637,0.84,0.692,0.7487,0.986,100
109,0.7215,0.7224,0.0509,0.5747,0.8832,0.6943,0.7499,0.983,100
110,0.7307,0.7337,0.0465,0.6151,0.8958,0.7049,0.7574,0.9868,100
111,0.7355,0.7333,0.0493,0.6266,0.8539,0.6985,0.7681,0.9821,100
112,0.7343,0.7352,0.0474,0.605,0.8287,0.7026,0.7722,0.9822,100
113,0.7266,0.7296,0.0439,0.6357,0.8303,0.6937,0.7551,0.9856,100
114,0.7289,0.7287,0.0455,0.6257,0.8817,0.7005,0.7559,0.9863,100
115,0.7343,0.7387,0.0459,0.6202,0.8282,0.7053,0.7665,0.9847,100
116,0.729,0.7289,0.0432,0.5968,0.856,0.7023,0.7569,0.9876,100
117,0.7288,0.7254,0.0491,0.6321,0.8537,0.6937,0.7626,0.982,100
118,0.7337,0.7316,0.0427,0.6044,0.8214,0.7116,0.763,0.9887,100
119,0.7254,0.7228,0.0465,0.6013,0.845,0.6942,0.7572,0.9843,100
120,0.7334,0.7344,0.0446,0.6161,0.8222,0.7036,0.7586,0.9865,100
121,0.7266,0.7271,0.0373,0.6409,0.8196,0.7014,0.754,0.9911,100
122,0.7274,0.7257,0.0443,0.6269,0.8568,0.6943,0.7616,0.9853,100
123,0.7348,0.7336,0.0447,0.634,0.8363,0.7018,0.7643,0.9851,100
124,0.7312,0.733,0.0455,0.6229,0.8517,0.7017,0.757,0.9868,100
125,0.7246,0.7229,0.0413,0.634,0.8113,0.697,0.7537,0.9878,100
126,0.7373,0.7369,0.0427,0.6297,0.8595,0.706,0.7676,0.9871,100
127,0.7329,0.7308,0.0402,0.648,0.8351,0.703,0.7608,0.9895,100
128,0.731,0.7312,0.0416,0.6252,0.8206,0.7019,0.761,0.9885,100
129,0.7316,0.7308,0.0422,0.6223,0.8186,0.7061,0.7601,0.9887,100
130,0.7319,0.7362,0.0414,0.6334,0.8607,0.6964,0.7601,0.9877,100
131,0.7289,0.7252,0.041,0.6166,0.8189,0.7009,0.758,0.9883,100
132,0.7285,0.7306,0.0404,0.6311,0.8249,0.6993,0.7564,0.9895,100
133,0.7302,0.7273,0.0441,0.6165,0.8289,0.7057,0.7619,0.9867,100
134,0.7377,0.7426,0.0449,0.6294,0.8279,0.7063,0.7722,0.9847,100
135,0.7345,0.7341,0.042,0.5971,0.8192,0.7153,0.7627,0.9892,100
136,0.7275,0.7298,0.037,0.6418,0.8166,0.7028,0.7527,0.9923,100
137,0.7314,0.7348,0.0427,0.6014,0.8352,0.6986,0.7659,0.9872,100
138,0.7285,0.7341,0.042,0.5904,0.8208,0.6993,0.7593,0.9879,100
139,0.7366,0.7456,0.0483,0.5856,0.8474,0.7068,0.77,0.9824,100
140,0.7249,0.7234,0.0338,0.6159,0.8017,0.7038,0.7476,0.9941,100
141,0.7276,0.727,0.0355,0.6228,0.8305,0.7084,0.7548,0.9933,100
142,0.7266,0.7309,0.0347,0.6346,0.8064,0.7051,0.7497,0.9938,100
143,0.7225,0.7203,0.0475,0.5801,0.8353,0.6916,0.7539,0.9832,100
144,0.7334,0.7354,0.043,0.623,0.8461,0.7047,0.7618,0.987,100
145,0.7298,0.7287,0.042,0.6274,0.8229,0.7026,0.7549,0.9884,100
146,0.7279,0.7291,0.0372,0.6445,0.8275,0.704,0.7535,0.9917,100
147,0.7337,0.7342,0.0383,0.6315,0.8278,0.7036,0.76,0.9901,100
148,0.731,0.7319,0.0355,0.6176,0.8219,0.7069,0.7541,0.9933,100
149,0.7348,0.7354,0.0349,0.6635,0.8131,0.7074,0.7613,0.9925,100
150,0.7253,0.7215,0.0381,0.6542,0.8592,0.6991,0.7538,0.9906,100
151,0.7332,0.736,0.0414,0.6169,0.8234,0.7049,0.7623,0.9884,100
152,0.7269,0.7269,0.0395,0.6118,0.8295,0.7015,0.7548,0.9906,100
153,0.7262,0.7276,0.0377,0.6356,0.8209,0.6991,0.7541,0.9911,100
154,0.731,0.7294,0.0357,0.6364,0.8271,0.7058,0.7489,0.9937,100
155,0.7237,0.7252,0.0381,0.6294,0.8205,0.6997,0.7468,0.9911,100
156,0.7277,0.7285,0.0339,0.6394,0.802,0.7055,0.7522,0.994,100
157,0.7323,0.7305,0.0372,0.6498,0.8244,0.7061,0.7588,0.9914,100
158,0.7307,0.7321,0.0363,0.6393,0.8208,0.7063,0.7523,0.9927,100
159,0.7312,0.7292,0.0357,0.6392,0.825,0.7105,0.7485,0.9942,100
160,0.726,0.7261,0.0367,0.6463,0.8387,0.6999,0.7456,0.993,100
161,0.726,0.7294,0.0353,0.6355,0.8141,0.7019,0.7494,0.9931,100
162,0.7278,0.7234,0.0341,0.6563,0.8188,0.7052,0.7569,0.9935,100
163,0.7272,0.7311,0.0343,0.6302,0.8018,0.7106,0.7462,0.9961,100
164,0.736,0.7337,0.0363,0.6407,0.8109,0.709,0.7632,0.9919,100
165,0.7261,0.7253,0.0336,0.6532,0.8144,0.7028,0.7455,0.994,100
166,0.726,0.7259,0.0384,0.6493,0.8188,0.6977,0.7548,0.9901,100
167,0.7268,0.7271,0.0346,0.6443,0.8092,0.7022,0.7523,0.9932,100
168,0.7236,0.7274,0.0348,0.6233,0.8064,0.7015,0.7454,0.9934,100
169,0.7296,0.7326,0.0355,0.6422,0.8167,0.7017,0.7493,0.9932,100
170,0.733,0.7348,0.035,0.6588,0.8086,0.7033,0.7573,0.9922,100
171,0.7248,0.7256,0.0362,0.6385,0.8213,0.6995,0.7481,0.9929,100
172,0.7263,0.7227,0.0352,0.6536,0.8415,0.7045,0.7466,0.993,100
173,0.7265,0.7294,0.0346,0.5916,0.8074,0.7032,0.7455,0.9947,100
174,0.7321,0.7347,0.0401,0.6319,0.8427,0.7045,0.7588,0.9892,100
175,0.7302,0.7326,0.0308,0.6578,0.8074,0.7086,0.7529,0.9963,100
176,0.7272,0.7217,0.0341,0.6327,0.8185,0.706,0.7471,0.9942,100
177,0.7244,0.7275,0.0305,0.6424,0.7863,0.7052,0.7426,0.997,100
178,0.7238,0.7224,0.0298,0.6496,0.7986,0.7025,0.7436,0.9963,100
179,0.7301,0.7289,0.0318,0.6354,0.8132,0.711,0.7519,0.9965,100
180,0.7276,0.7249,0.0321,0.6624,0.8354,0.7049,0.7505,0.9951,100
181,0.728,0.7266,0.0286,0.6627,0.8165,0.7111,0.7457,0.9979,100
182,0.7251,0.7205,0.0318,0.6649,0.8138,0.7023,0.7488,0.9944,100
183,0.7263,0.7257,0.0297,0.643,0.7874,0.7082,0.7485,0.9965,100
184,0.7282,0.7245,0.0299,0.6587,0.8062,0.7069,0.746,0.9966,100
185,0.7268,0.7329,0.0298,0.6473,0.7781,0.7068,0.7481,0.9968,100
186,0.727,0.7281,0.0334,0.6445,0.7998,0.7051,0.7502,0.9943,100
187,0.7281,0.7298,0.0321,0.6547,0.8097,0.7059,0.7483,0.9959,100
188,0.7354,0.7331,0.032,0.6617,0.8157,0.7154,0.7556,0.9953,100
189,0.73,0.7283,0.0302,0.6554,0.802,0.7097,0.746,0.9974,100
190,0.7223,0.7214,0.0321,0.6513,0.8119,0.7025,0.7417,0.9954,100
191,0.7263,0.7286,0.0353,0.6331,0.8069,0.7043,0.7469,0.9938,100
192,0.7302,0.7284,0.0323,0.6396,0.8122,0.7139,0.7498,0.9967,100
193,0.7324,0.7335,0.0292,0.6606,0.7867,0.7138,0.7551,0.9968,100
194,0.7318,0.7279,0.0327,0.6582,0.8322,0.7104,0.7507,0.9954,100
195,0.7266,0.726,0.026,0.6639,0.7822,0.7085,0.7446,0.999,100
196,0.7258,0.7251,0.0324,0.6626,0.793,0.7025,0.7501,0.9936,100
197,0.7311,0.7306,0.0337,0.6329,0.8073,0.7074,0.7585,0.9938,100
198,0.7295,0.7281,0.0348,0.6411,0.8323,0.7054,0.7512,0.9941,100
199,0.7352,0.731,0.0295,0.6672,0.8289,0.7156,0.7499,0.9978,100
200,0.7299,0.7324,0.0291,0.6626,0.797,0.7118,0.7503,0.9973,100
201,0.732,0.7316,0.0312,0.6626,0.8169,0.7111,0.7481,0.9964,100
202,0.7289,0.7269,0.0263,0.6666,0.79,0.7117,0.747,0.9989,100
203,0.7323,0.7357,0.0262,0.6745,0.7874,0.7142,0.7498,0.9988,100
204,0.7307,0.728,0.0285,0.6664,0.8156,0.7135,0.7452,0.9988,100
205,0.7308,0.7322,0.029,0.6536,0.8096,0.7142,0.7486,0.9976,100
206,0.7326,0.7309,0.0306,0.6482,0.8008,0.7119,0.7556,0.9965,100
207,0.7298,0.7287,0.0281,0.6713,0.8067,0.7105,0.7466,0.9983,100
208,0.7289,0.728,0.0272,0.6555,0.7901,0.7087,0.747,0.9986,100
209,0.7277,0.7259,0.0305,0.6371,0.8048,0.7074,0.7454,0.9967,100
210,0.7253,0.7269,0.0286,0.6438,0.7941,0.709,0.744,0.998,100
211,0.7332,0.7358,0.0294,0.6575,0.8085,0.7146,0.7553,0.9971,100
212,0.731,0.731,0.0279,0.6531,0.8089,0.7118,0.75,0.9984,100
213,0.7301,0.7314,0.0272,0.6712,0.7918,0.7081,0.7473,0.9982,100
214,0.7334,0.733,0.0268,0.6748,0.7949,0.7139,0.7524,0.9989,100
215,0.7298,0.73,0.0264,0.671,0.8125,0.7125,0.748,0.9989,100
216,0.7342,0.7337,0.0278,0.662,0.8026,0.7133,0.752,0.9981,100
217,0.732,0.7315,0.0237,0.6761,0.7841,0.7189,0.7451,1.001,100
218,0.728,0.7285,0.0294,0.6529,0.8062,0.7077,0.7481,0.9974,100
219,0.7353,0.7372,0.0299,0.665,0.8069,0.7117,0.7575,0.9958,100
220,0.7322,0.7288,0.0266,0.6728,0.7933,0.7153,0.7542,0.9988,100
221,0.7321,0.7318,0.0246,0.655,0.8092,0.7166,0.7483,1.0008,100
222,0.7265,0.7271,0.0246,0.6456,0.7825,0.7127,0.7441,1.0004,100
223,0.7259,0.7228,0.0286,0.6568,0.788,0.7079,0.7501,0.9971,100
224,0.7268,0.7272,0.0249,0.6673,0.7845,0.7133,0.7444,1.0004,100
225,0.7315,0.7305,0.0244,0.6616,0.7923,0.7185,0.7449,1.0012,100
226,0.7336,0.7342,0.0264,0.659,0.795,0.7186,0.7488,0.9994,100
227,0.7277,0.7287,0.0278,0.6609,0.7836,0.7085,0.7477,0.998,100
228,0.7284,0.7293,0.0277,0.6734,0.836,0.7121,0.7448,0.9991,100
229,0.7303,0.7295,0.0265,0.6617,0.7943,0.7132,0.7465,0.9995,100
230,0.7332,0.7338,0.0259,0.6632,0.7994,0.7153,0.7504,0.9993,100
231,0.7331,0.7331,0.0262,0.67,0.8157,0.7189,0.7498,0.9994,100
232,0.728,0.7289,0.0253,0.6502,0.7928,0.7123,0.742,1.0003,100
233,0.7333,0.7379,0.0253,0.6766,0.7848,0.712,0.7521,0.9984,100
234,0.7355,0.7359,0.0301,0.6766,0.8304,0.7093,0.7531,0.9959,100
235,0.7285,0.7252,0.0257,0.6511,0.805,0.7126,0.7461,0.9998,100
236,0.7325,0.7314,0.0264,0.6769,0.797,0.7161,0.7488,0.9994,100
237,0.7319,0.732,0.0257,0.6804,0.8005,0.7135,0.7506,0.9993,100
238,0.7275,0.7314,0.0252,0.6632,0.7809,0.7091,0.7463,0.9996,100
239,0.7313,0.7329,0.023,0.6742,0.803,0.7202,0.7427,1.002,100
240,0.7329,0.7344,0.0228,0.6726,0.8017,0.716,0.7496,1.0008,100
241,0.735,0.7368,0.0222,0.6716,0.7949,0.7207,0.7487,1.0013,100
242,0.7292,0.7268,0.0255,0.6726,0.8165,0.7102,0.7437,1.0002,100
243,0.7316,0.7338,0.0214,0.6747,0.7765,0.717,0.7474,1.0017,100
244,0.7327,0.7338,0.0235,0.6765,0.7808,0.7144,0.7526,0.9998,100
245,0.7351,0.7352,0.0226,0.6809,0.8167,0.7184,0.7512,1.0009,100
246,0.7297,0.7284,0.0257,0.6838,0.8002,0.7107,0.7485,0.9992,100
247,0.7297,0.7287,0.0235,0.6762,0.7813,0.7127,0.7491,1.0007,100
248,0.7293,0.7294,0.026,0.6641,0.799,0.7144,0.7452,0.9994,100
249,0.7295,0.7278,0.0219,0.6797,0.7788,0.7181,0.7439,1.0021,100
250,0.7299,0.7291,0.0215,0.686,0.7863,0.716,0.7417,1.0018,100
251,0.7309,0.7322,0.0231,0.6595,0.7912,0.714,0.7468,1.0008,100
252,0.7331,0.732,0.0213,0.6892,0.7828,0.7185,0.7501,1.0017,100
253,0.7314,0.733,0.0246,0.6622,0.782,0.7116,0.7518,0.9995,100
254,0.7306,0.7304,0.0229,0.6647,0.7923,0.7177,0.7467,1.0018,100
255,0.7312,0.7332,0.0205,0.6861,0.7942,0.7157,0.7451,1.0025,100
256,0.73,0.7313,0.0249,0.6541,0.7803,0.7157,0.7454,1.0004,100
257,0.7351,0.7359,0.0226,0.6832,0.7897,0.7207,0.7489,1.0009,100
258,0.7319,0.7308,0.024,0.6828,0.7897,0.7166,0.748,1.0003,100
259,0.7315,0.7312,0.0221,0.6688,0.7768,0.7141,0.7481,1.0015,100
260,0.7303,0.7292,0.024,0.6634,0.7896,0.7171,0.7452,1.0013,100
261,0.7262,0.7244,0.0229,0.6682,0.7737,0.7111,0.7455,1.0005,100
262,0.7289,0.7274,0.0234,0.6563,0.7869,0.7147,0.7466,1.0012,100
